;participant;errorRateAll;errorRateGo;errorRateNoGo;errorRateAction;errorRateExternal;trimmedRTRate
0;2;11.66666667;9.583333333;20;17.33333333;6;0
1;14;7.333333333;5.416666667;15;4.666666667;10;0
2;17;11.66666667;1.25;53.33333333;12.66666667;10.66666667;0
3;28;3;0;15;2;4;0
4;101;2.666666667;0;13.33333333;2.666666667;2.666666667;0
5;106;4.333333333;0.833333333;18.33333333;6;2.666666667;0
6;107;3.666666667;0;18.33333333;4.666666667;2.666666667;0
7;109;1.333333333;0;6.666666667;1.333333333;1.333333333;0
8;110;2.666666667;0.833333333;10;2;3.333333333;0
9;111;4;0.416666667;18.33333333;8;0;0
10;112;0.333333333;0;1.666666667;0;0.666666667;0
11;113;6.666666667;0.416666667;31.66666667;8.666666667;4.666666667;0
12;117;3.666666667;2.083333333;10;6;1.333333333;0
13;120;7;4.166666667;18.33333333;8;6;0
14;121;8;2.5;30;10;6;0
15;122;8.666666667;0;43.33333333;6.666666667;10.66666667;0
16;123;4;0.416666667;18.33333333;4.666666667;3.333333333;0
17;124;10;0.416666667;48.33333333;8;12;0
18;125;4;1.666666667;13.33333333;6;2;0
19;126;3.666666667;0;18.33333333;4.666666667;2.666666667;0
20;127;1.666666667;0;8.333333333;2;1.333333333;0
21;129;1;0;5;1.333333333;0.666666667;0
22;130;4.666666667;0;23.33333333;6.666666667;2.666666667;0
23;131;4;0;20;5.333333333;2.666666667;0
24;133;3;1.25;10;2.666666667;3.333333333;0
25;136;4.333333333;3.333333333;8.333333333;5.333333333;3.333333333;0
26;137;2;0;10;2.666666667;1.333333333;0
27;139;1.666666667;0;8.333333333;2;1.333333333;0
28;140;3.333333333;0.416666667;15;3.333333333;3.333333333;0
29;141;1.333333333;0;6.666666667;2;0.666666667;0
30;142;8;0.833333333;36.66666667;10;6;0
31;143;5;0;25;6;4;0
32;145;7.666666667;2.083333333;30;6.666666667;8.666666667;0
33;146;11.66666667;0;58.33333333;13.33333333;10;0
34;148;6.333333333;0;31.66666667;8.666666667;4;0
