;participant;errorRateAll;errorRateGo;errorRateNoGo;trimmedRTRate
0;1;8;2.5;30;0
1;2;11.66666667;9.583333333;20;0
2;3;6.666666667;7.083333333;5;0
3;4;14.33333333;12.5;21.66666667;0
4;5;18;12.5;40;0
5;6;29.33333333;35;6.666666667;0
6;7;12.19512195;7.792207792;30.35714286;0
7;8;30.66666667;36.66666667;6.666666667;0
8;9;16.66666667;13.75;28.33333333;0
9;10;21.66666667;25;8.333333333;0
10;13;19.66666667;17.08333333;30;0
11;14;7.333333333;5.416666667;15;0
12;15;12.66666667;12.5;13.33333333;0
13;18;30.33333333;32.91666667;20;0
14;19;18.33333333;18.75;16.66666667;0
15;21;33.66666667;40.83333333;5;0
16;23;38.66666667;47.5;3.333333333;0
